databaseMethod,uri,label,Notation,essdmNOTATION
40Ar/39Ar geochronology and thermochronology,meth:geochronology40ar39ar,40Ar-39Ar geochronology,ARGT,
40Ar-39Ar geochronology,meth:geochronology40ar39ar,40Ar-39Ar geochronology,ARGT,
Accelerator mass spectrometry,meth:acceleratormassspectrometry,Accelerator mass spectrometry,AMS,AMS
Acid reaction carbonate analysis,meth:acidreactioncarbonateanalysis,Acid reaction carbonate analysis,xARCA,
Activation analysis,meth:particleinducedactivationanalysis,Activation analysis,PIGE,
Active X-Ray Spectrometer,meth:xrayfluorescencespectrometry,X-ray fluorescence spectrometry,XRF,AXRS
ADSORPTION,meth:adsorptionanalysis,Adsorption analysis,ADS,
Adsorption analysis,meth:adsorptionanalysis,Adsorption analysis,ADS,
AFM topography imaging,meth:afmtopographyimaging,AFM topography imaging,AFM,
ALPHA COUNTING,meth:alphaparticlecounting,Alpha particle counting,ALPHA,ALPHA
ALPHA COUNTING ISOTOPE DILUTION,meth:alphaparticlecounting,Alpha particle counting,ALPHA,ALPHA-ID
Alpha particle counting,meth:alphaparticlecounting,Alpha particle counting,ALPHA,
ALPHA PARTICLE DECAY COUNTING,meth:alphaparticlecounting,Alpha particle counting,ALPHA,
Alpha particle spectrometry,meth:alphaparticlespectrometry,Alpha particle spectrometry,ALPHASPEC,
Alpha recoil track counting,meth:alpharecoiltrackcounting,Alpha recoil track counting,ART,
Alpha spectrometry,meth:alphaparticlespectrometry,Alpha particle spectrometry,ALPHASPEC,
ALPHA-DECAY COUNTING,meth:alphaparticlecounting,Alpha particle counting,ALPHA,
ALPHA-RECOIL TRACKS DATING,meth:alpharecoiltrackcounting,Alpha recoil track counting,ART,
Amperometry,meth:amperometry,Amperometry,,
Analytical method,meth:analyticalmethod,Analytical method,xGT,
Analytical technique,meth:analyticalmethod,Analytical method,xGT,
ANAYTICAL ELECTRON MICROSCOPY,meth:electronmicroscopyimaging,Electron microscopy imaging,AEM,AEM
Angle of repose measurement,meth:angleofreposemeasurement,Angle of repose measurement,ARM,
ANION CHROMATOGRAPHY,meth:anionchromatographyanalysis,Anion chromatography analysis,ANC,ANC
Anion chromatography analysis,meth:anionchromatographyanalysis,Anion chromatography analysis,ANC,
ARSINE GUTZEIT REACTION,meth:gutzeittest,Gutzeit test,ARS,
Atom probe tomography,meth:atomprobetomography,Atom probe tomography,APT,
ATOMIC ABSORPTION,meth:atomicabsorptionspectrometry,Atomic absorption spectrometry,AAS,AAS
Atomic absorption spectrometry,meth:atomicabsorptionspectrometry,Atomic absorption spectrometry,AAS,
Atomic absorption spectrophotometry,meth:atomicabsorptionspectrometry,Atomic absorption spectrometry,AAS,
Atomic absorption spectroscopy,meth:atomicabsorptionspectrometry,Atomic absorption spectrometry,AAS,
ATOMIC EMISSION SPECTROMETRY (FLAME PHOTOMETRY),meth:flameemissionspectrometry,Flame emission spectrometry,FLES,
ATOMIC FLUORESCENCE SPECTROMETRY,meth:fluorescencespectrometry,Fluorescence spectrometry,AFS,
Atomic force microscopy,meth:atomicforcemicroscopy,Atomic force microscopy,,
Auger electron spectroscopy,meth:augerelectronspectroscopy,Auger electron spectroscopy,AUGER,AUGER
Backscatter electron microscopy,meth:backscatteredelectronimaging,Backscattered electron imaging,BSE,
Backscattered electron grain boundary imaging,meth:backscatteredelectrongrainboundarymap,Backscattered electron grain boundary imaging,SEMEBSDGrainImageMap,
Backscattered electron imaging,meth:backscatteredelectronimaging,Backscattered electron imaging,BSE,
Bench chemistry ,meth:benchchemistry,Bench chemistry ,,
BETA COUNTING,meth:betacounting,Beta counting,BETA,BETA
Bioanalytical method,meth:bioanalyticalmethod,Bioanalytical method,,
BROAD BEAM ANALYSIS,meth:broadbeamxrayspectrometry,Broad beam X-ray spectrometry,XRBB,BROAD BEAM ANALYSIS
Broad beam X-ray spectrometry,meth:broadbeamxrayspectrometry,Broad beam X-ray spectrometry,XRBB,
CALCINATION,wrkf:calcination,,CALC,
CALCINATION ANALYSIS,wrkf:calcination,,CALC,
CALCULATED,wrkf:calculation,,CALC,CALC
Calculation,wrkf:calculation,,CALC,
Capacitance dilatometry,meth:capacitancedilatometry,Capacitance dilatometry,CAPD,
CARBON HYDROGEN NITROGEN ANALYSIS,meth:elementalanalysis,Elemental analysis ,EA,
CARBON HYDROGEN NITROGEN ANALYZER,meth:elementalanalysis,Elemental analysis ,EA,CHN
CARBON HYDROGEN NITROGEN GAS CHROMATOGRAPHY,meth:gaschromatographyanalysis,Gas chromatography analysis,GC,CHN-G
CARBON HYDROGEN NITROGEN SULFUR ELEMENTAL ANALYSIS,meth:elementalanalysis,Elemental analysis ,EA,
CARBON HYDROGEN SULFUR ELEMENTAL ANALYSIS,meth:elementalanalysis,Elemental analysis ,EA,CHS
CARBON NITROGEN SULFUR ANALYSIS,meth:elementalanalysis,Elemental analysis ,EA,
CARBON NITROGEN SULFUR ANALYZER,meth:elementalanalysis,Elemental analysis ,EA,CNS
CARBON SULFUR ANALYSIS,meth:elementalanalysis,Elemental analysis ,EA,
CARBON SULFUR ANALYZER,meth:elementalanalysis,Elemental analysis ,EA,CSA
CARBON SULPHUR ANALYZER,meth:elementalanalysis,Elemental analysis ,EA,
CARBONATE BOMB,meth:carbonatebombanalysis,Carbonate bomb analysis,CB,
Carbonate bomb analysis,meth:carbonatebombanalysis,Carbonate bomb analysis,CB,
Catalytic combustion analysis,meth:catalyticcombustionanalysis,Catalytic combustion analysis,CCOMB,
Cathodoluminescence imaging,meth:cathodoluminescenceimaging,Cathodoluminescence imaging,HR-CL,
Cation Chromatography,meth:cationchromatographyanalysis,Cation chromatography analysis,xCCR,
Cation chromatography analysis,meth:cationchromatographyanalysis,Cation chromatography analysis,xCCR,
Chain termination sequencing,meth:sangersequencing,Sanger sequencing,,
CHARMOGRAPH,meth:charmographanalysis,Charmograph analysis,CHARM,
Charmograph analysis,meth:charmographanalysis,Charmograph analysis,CHARM,
CHEMICAL ABRASION THERMAL-IONIZATION MASS SPECTROMETRY,meth:thermalionizationmassspectrometry,Thermal ionization mass spectrometry,TIMS,
CHNS ANALYZER,meth:elementalanalysis,Elemental analysis ,,
Chromatography analysis,meth:chromatographyanalysis,Chromatography analysis,xCR,
CNS ANALYZER,meth:elementalanalysis,Elemental analysis ,,
COLORIMETRIC ANALYSIS,meth:colormetricanalysis,Colormetric analysis,COL,COL
COLORIMETRY,meth:colormetricanalysis,Colormetric analysis,COL,
Colormetric analysis,meth:colormetricanalysis,Colormetric analysis,COL,
COMBUSTION,meth:combustionanalysis,Combustion analysis,COMB,COMBUSTION
Combustion analysis,meth:combustionanalysis,Combustion analysis,COMB,
Combustion gas chromatography,meth:combustiongaschromatography,Combustion gas chromatography,,
Combustion gas chromatography isotopic ratio mass spectrometry,meth:combustiongaschromatographyisotopicratiomassspectrometry,Combustion gas chromatography isotopic ratio mass spectrometry,GC-C-IRMS,
Combustion infrared spectrometry,meth:combustioninfraredspectrometry,Combustion infrared spectrometry,CIR,
Combustion Ion Chromatography,meth:combustionionchromatography,Combustion Ion Chromatography  ,CIC,CIC
COMBUSTION-INFRARED ANALYSIS,meth:combustioninfraredspectrometry,Combustion infrared spectrometry,CIR,
COMBUSTION-INFRARED TECHNIQUE,meth:combustioninfraredspectrometry,Combustion infrared spectrometry,CIR,
Compression test,meth:compressiontest,Compression test,COMPT,
COMPUTER-AIDED MICROANALYZER,meth:xraymap,X-ray composition map,XMAP,CMA
Confocal X-ray fluorescence spectrometry,meth:confocalxrayfluorescencespectrometry,Confocal X-ray fluorescence spectrometry,,
Continuous flow isotope ratio mass spectrometry,meth:continuousflowisotoperatiomassspectrometry,Continuous flow isotope ratio mass spectrometry,CFIRMS,
Coulometrical analysis,meth:coulometricalanalysis,Coulometrical analysis,COUL,COUL
DCAES,meth:directcurrentplasmaemissionspectrometry,Direct current plasma emission spectrometry,DCAES,DCAES
DELAYED NEUTRON COUNTING,meth:neutroncounting,Neutron counting,NCC,
Desorption electrospray ionization orbitrap mass spectrometry,meth:desorptionelectrosprayionizationorbitrapmassspectrometry,Desorption electrospray ionization orbitrap mass spectrometry,DESI-Orbitrap MS,
destructive activation analysis,meth:radiochemicalneutronactivationanalysis,Radiochemical neutron activation analysis,RNAA,
DESTRUCTIVE NEUTRON ACTIVATION ANALYSIS,meth:radiochemicalneutronactivationanalysis,Radiochemical neutron activation analysis,RNAA,
Deuteron activation analysis,meth:deuteronactivationanalysis,Deuteron activation analysis,DDA,
DIETRICH-FRUHLING CALCIMETER,meth:dietrichfruhlingcalcimetry,Dietrich-Fruhling calcimetry,DFCALC,
Dietrich-Fruhling calcimetry,meth:dietrichfruhlingcalcimetry,Dietrich-Fruhling calcimetry,DFCALC,
Differential analyzer,meth:differentialthermalanalyis,Differential thermal analysis,,
Differential scanning calorimetry,meth:differentialscanningcalorimetry,Differential scanning calorimetry,DSC,
Differential thermal analysis,meth:differentialthermalanalyis,Differential thermal analysis,,
DIRECT CURRENT PLASMA (FURTHER DETAIL NOT PROVIDED),meth:directcurrentplasmaspectrometry,Direct current plasma spectrometry,DCP,DCP
Direct current plasma emission spectrometry,meth:directcurrentplasmaemissionspectrometry,Direct current plasma emission spectrometry,DCAES,
Direct current plasma spectrometry,meth:directcurrentplasmaspectrometry,Direct current plasma spectrometry,DCP,
Direct Mercury Analyzer,meth:elementalanalysisinfraredspectrometry,Elemental analysis infrared spectrometry ,,
DIRECT READING OPTICAL EMISSIONS SPECTROSCOPY,meth:opticalemissionspectrometry,Optical emission spectrometry,xOES,DROES
Direct shear strength measurement,meth:directshearstrengthmeasurement,Direct shear strength measurement,DSSM,
DIRECT-CURRENT PLASMA ATOMIC EMISSION SPECTROMETRY,meth:directcurrentplasmaemissionspectrometry,Direct current plasma emission spectrometry,DCAES,
DIRECT-CURRENT PLASMA SPECTROMETRY,meth:directcurrentplasmaspectrometry,Direct current plasma spectrometry,DCP,
DIRECTLY COUPLED PLASMA OPTICAL EMISSION SPECTROSCOPY,meth:plasmaopticalemissionspectrometry,Plasma optical emission spectrometry,POES,
DNA amplification,meth:quantitativepolymerasechainreaction,Quantitative polymerase chain reaction,qPCR,
DNA enrichment,meth:quantitativepolymerasechainreaction,Quantitative polymerase chain reaction,qPCR,
DNA hybridization capture,meth:hybridizationassay,Hybridization assay,,
DNA sequencing,meth:dnasequencing,DNA sequencing,,
DROES,meth:opticalemissionspectrometry,Optical emission spectrometry,xOES,
Dual inlet isotope ratio mass spectrometry,meth:dualinletisotoperatiomassspectrometry,Dual inlet isotope ratio mass spectrometry,DIIRMS,
DUPONT SOLID'S MOISTURE ANALYSIS,meth:moistureanalysis,Moisture analysis,SMA,SMA
Electrical conductivity measurement,meth:electricalconductivitymeasurement,Electrical conductivity measurement,,
Electrochemical impedance spectroscopy,meth:electrochemicalimpedancespectroscopy,Electrochemical impedance spectroscopy,IES,
Electrochemical techniques,meth:electrochemicaltechniques,Electrochemical techniques,xEC,
ELECTROMETRY,meth:potentiometry,Potentiometry,POT,
Electron backscatter diffraction,meth:electronbackscatterdiffraction,Electron backscatter diffraction,EBSD,
ELECTRON CAPTURE GAS CHROMATOGRAPHY,meth:gaschromatographyanalysis,Gas chromatography analysis,GC,
Electron diffraction,meth:electrondiffraction,Electron diffraction,,
Electron energy loss spectrometry,meth:electronenergylossspectrometry,Electron energy loss spectrometry,,
Electron induced X-ray spectrometry,meth:electroninducedxrayspectrometry,Electron induced X-ray spectrometry,xEIXS,
ELECTRON MICROPROBE,meth:quantitativeanalysiselectroninducedxrayspectrometry,Quantitative analysis electron induced X-ray spectrometry,EMPA,EMP
ELECTRON MICROPROBE ANALYSIS,meth:quantitativeanalysiselectroninducedxrayspectrometry,Quantitative analysis electron induced X-ray spectrometry,EMPA,
Electron microscopy imaging,meth:electronmicroscopyimaging,Electron microscopy imaging,AEM,
Electron spectrometry,meth:electronspectrometry,Electron spectrometry,xESPEC,
Electron spin resonance age analysis,meth:electronspinresonanceageanalysis,Electron spin resonance age analysis,ESR,
ELECTRON-SPIN RESONANCE AGE,meth:electronspinresonanceageanalysis,Electron spin resonance age analysis,ESR,
ELECTRON-SPIN RESONANCE AGE ANALYSIS,meth:electronspinresonanceageanalysis,Electron spin resonance age analysis,ESR,
Electrothermal absorption spectrometry,meth:electrothermalabsorptionspectrometry,Electrothermal absorption spectrometry,ETAAS,
ELECTROTHERMAL ATOMIC ABSORPTION SPECTROMETRY,meth:electrothermalabsorptionspectrometry,Electrothermal absorption spectrometry,ETAAS,
ELEMENTAL ANALYSER,meth:elementalanalysis,Elemental analysis ,,
ELEMENTAL ANALYSER CONTINUOUS FLOW ISOTOPIC RATIO MASS SPECTROMETER,meth:continuousflowisotoperatiomassspectrometry,Continuous flow isotope ratio mass spectrometry,CFIRMS,
Elemental analysis,meth:elementalanalysis,Elemental analysis ,,
Elemental analysis infrared spectrometry,meth:elementalanalysisinfraredspectrometry,Elemental analysis infrared spectrometry ,,
Elemental analysis infrared spectrometry ,meth:elementalanalysisinfraredspectrometry,Elemental analysis infrared spectrometry ,,
Elemental analysis isotope ratio mass spectrometry,meth:elementalanalysisisotoperatiomassspectrometry,Elemental analysis isotope ratio mass spectrometry,EA-IRMS,
Elemental analysis mass spectrometry,meth:elementalanalysismassspectrometry,Elemental analysis mass spectrometry,EAMS,
ELEMENTAL ANALYZER,meth:elementalanalysis,Elemental analysis ,EA,EA
Elemental analyzer - isotope ratio mass spectrometry,meth:elementalanalysisisotoperatiomassspectrometry,Elemental analysis isotope ratio mass spectrometry,EA-IRMS,
ELEMENTAL ANALYZER CONTINUOUS-FLOW ISOTOPE RATIO MASS SPECTROMETRY,meth:continuousflowisotoperatiomassspectrometry,Continuous flow isotope ratio mass spectrometry,CFIRMS,EA-CF-IRMS
Elemental analyzer mass spectrometry,meth:elementalanalysismassspectrometry,Elemental analysis mass spectrometry,EAMS,
elemental analyzer-mass spectrometry,meth:elementalanalysismassspectrometry,Elemental analysis mass spectrometry,EAMS,EA-MS
Elemental spectra (ESPC) measurements,meth:energydispersiveelectroninducedxrayspectrometry,Energy dispersive electron induced X-ray spectrometry,EEDS,
Emission spectrometry,meth:emissionspectrometry,Emission spectrometry,ES,ES
Energy dispersive electron induced X-ray spectrometry,meth:energydispersiveelectroninducedxrayspectrometry,Energy dispersive electron induced X-ray spectrometry,EEDS,
Energy dispersive spectroscopy,meth:energydispersivexrayspectrometry,Energy dispersive X-ray spectrometry,EDS,EDS
Energy dispersive X-ray fluorescence spectrometry,meth:energydispersivexrayfluorescencespectrometry,Energy dispersive X-ray fluorescence spectrometry,XRFEDS,
Energy dispersive X-ray spectral data 2D raster,meth:energydispersivexrayspectraraster,Energy dispersive X-ray spectral data 2D raster,,
Energy dispersive X-ray spectrometry,meth:energydispersivexrayspectrometry,Energy dispersive X-ray spectrometry,EDS,
energy-dispersive X-ray analysis (EDXA),meth:energydispersivexrayfluorescencespectrometry,Energy dispersive X-ray fluorescence spectrometry,XRFEDS,
ENERGY-DISPERSIVE X-RAY FLUORESCENCE,meth:energydispersivexrayfluorescencespectrometry,Energy dispersive X-ray fluorescence spectrometry,XRFEDS,XRF-EDS
energy-dispersive X-ray fluorescence analysis (EDX),meth:energydispersivexrayfluorescencespectrometry,Energy dispersive X-ray fluorescence spectrometry,XRFEDS,
Energy-dispersive X-ray spectral data (EDS) - 2D raster,meth:energydispersivexrayspectraraster,Energy dispersive X-ray spectral data 2D raster,,
ENERGY-DISPERSIVE X-RAY SPECTROSCOPY,meth:energydispersivexrayspectrometry,Energy dispersive X-ray spectrometry,EDS,
"energy-dispersive X-ray spectroscopy (EDS, EDXS)",meth:energydispersivexrayfluorescencespectrometry,Energy dispersive X-ray fluorescence spectrometry,XRFEDS,
Energy-filtered transmission electron imaging,meth:energyfilteredtransmissionelectronimaging,Energy-filtered transmission electron imaging,EFTEM,
Energy-filtered transmission electron microscopy,meth:energyfilteredtransmissionelectronimaging,Energy-filtered transmission electron imaging,EFTEM,
Epithermal neutron activation analysis,meth:epithermalneutronactivationanalysis,Epithermal neutron activation analysis,ENAA,ENAA
EXCIMER LASER ABLATION INDUCTIVELY-COUPLED PLASMA MASS SPECTROMETRY,meth:laserablationinductivelycoupledplasmamassspectrometry,Laser ablation inductively coupled plasma mass spectrometry,LAICPMS,
Extended X-ray absorption fine structure,meth:extendedxrayabsorptionfinestructure,Extended X-ray absorption fine structure,EXAFS,
EXTRACTION HYDROGEN MANOMETRY,meth:manometry,Manometry,MANO,
Fast neutron activation analysis,meth:fastneutronactivationanalysis,Fast neutron activation analysis,FNAA,FNAA
FEMTO LASER MULTI-COLLECTOR INDUCTIVELY COUPLED PLASMA MAGNETIC SECTOR MASS SPECTROMETRY,meth:laserablationinductivelycoupledplasmamassspectrometry,Laser ablation inductively coupled plasma mass spectrometry,LAICPMS,
FIELD EMISSION ELECTRON MICROPROBE,meth:quantitativeanalysiselectroninducedxrayspectrometry,Quantitative analysis electron induced X-ray spectrometry,EMPA,
FIELD EMISSION ELECTRON MICROPROBE ANALYSIS,meth:quantitativeanalysiselectroninducedxrayspectrometry,Quantitative analysis electron induced X-ray spectrometry,EMPA,
FILM POLAROGRAPHY,meth:polarography,Polarography,POL,FP
Fire assay emission spectrometry,meth:fireassayemissionspectrometry,Fire assay emission spectrometry,xFEMS,
FISSION TRACK,meth:fissiontrackcounting,Fission track counting,FT,FIS
FISSION TRACK ANALYSIS,meth:fissiontrackcounting,Fission track counting,FT,
Fission track counting,meth:fissiontrackcounting,Fission track counting,FT,
Flame emission spectrometry,meth:flameemissionspectrometry,Flame emission spectrometry,FLES,
FLAME EMISSION SPECTROSCOPY,meth:flameemissionspectrometry,Flame emission spectrometry,FLES,FL-ES
FLAME PHOTOMETRY,meth:flameemissionspectrometry,Flame emission spectrometry,FLES,FPHOT
Flow cytometry,meth:flowcytometry,Flow cytometry,,
Fluorescence microscopy,meth:fluorescencemicroscopy,Fluorescence microscopy,,
Fluorescence spectrometry,meth:fluorescencespectrometry,Fluorescence spectrometry,AFS,
Fluorescence Spectroscopy,meth:fluorescencespectrometry,Fluorescence spectrometry,AFS,
Fluorescent in situ hybridization,meth:fluorescentinsituhybridization,Fluorescent in situ hybridization,FISH,
Fluorimetry,meth:fluorescencespectrometry,Fluorescence spectrometry,AFS,
FLUOROMETRY,meth:fluorescencespectrometry,Fluorescence spectrometry,AFS,
Focused ion beam scanning microscopy,meth:focusedionbeamscanningmicroscopy,Focused ion beam scanning microscopy,FIB-SEM,
Fourier transform infrared spectrometry,meth:fouriertransforminfraredspectrometry,Fourier transform infrared spectrometry,FTIR,FTIR
Fourier transform ion cyclotron resonance mass spectrometry,meth:fouriertransformioncyclotronresonancemassspectrometry,Fourier transform ion cyclotron resonance mass spectrometry,FTICR-MS,
FOURIER TRANSFORM IR SPECTROSCOPY,meth:fouriertransforminfraredspectrometry,Fourier transform infrared spectrometry,FTIR,
FUSION-INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY,meth:inductivelycoupledplasmamassspectrometry,Inductively coupled plasma mass spectrometry,ICPMS,
Gamma counting,meth:gammacounting,Gamma counting,GC,
Gamma ray spectrometry,meth:gammarayspectrometry,Gamma ray spectrometry,GAMMA,
GAMMA RAY SPECTROSCOPY,meth:gammarayspectrometry,Gamma ray spectrometry,GAMMA,GAMMA
GAMMA SPECTROMETRY,meth:gammarayspectrometry,Gamma ray spectrometry,GAMMA,
GAS CHROMATOGRAPHY,meth:gaschromatographyanalysis,Gas chromatography analysis,GC,GC
Gas chromatography analysis,meth:gaschromatographyanalysis,Gas chromatography analysis,GC,
GAS CHROMATOGRAPHY AND CONTINUOUS FLOW ISOTOPE RATIO MONITORING MASS SPECTROMETRY,meth:isotoperatiomassspectrometry,Isotope ratio mass spectrometry,IRMS,
Gas chromatography flame ionization detection,meth:gaschromatographyflameionizationdetection,Gas chromatography flame ionization detection,GC-FID,
Gas chromatography mass spectrometry,meth:gaschromatographymassspectrometry,Gas chromatography mass spectrometry,GC-MS,
Gas chromatography thermal conductivity detection,meth:gaschromatographythermalconductivitydetection,Gas chromatography thermal conductivity detection,GC-TCD,
Gas chromatography thermal conductivity detector,meth:gaschromatographythermalconductivitydetection,Gas chromatography thermal conductivity detection,GC-TCD,
GAS CHROMATOGRAPHY-MASS SPECTROMETRY,meth:gaschromatographymassspectrometry,Gas chromatography mass spectrometry,GC-MS,GC-MS
Gas pycnometry,meth:gaspycnometry,Gas pycnometry,GPYC,
Geochronology techiques,meth:geochronology,Geochronology techiques,,
Glow discharge mass spectrometry,meth:glowdischargemassspectrometry,Glow discharge mass spectrometry,GDMS,GDMS
Gradient ion chromatography,meth:gradientionchromatographyanalysis,Gradient ion chromatography analysis,GIO,
Gradient ion chromatography analysis,meth:gradientionchromatographyanalysis,Gradient ion chromatography analysis,GIO,
GRADIENT ION-CHROMATOGRAPHY,meth:gradientionchromatographyanalysis,Gradient ion chromatography analysis,GIO,GIO
Gravimetric analysis,meth:gravimeticanalysis,Gravimetric analysis,GRAV,
GRAVIMETRY,meth:gravimeticanalysis,Gravimetric analysis,GRAV,GRAV
Gutzeit test,meth:gutzeittest,Gutzeit test,ARS,
Heat-flow DSC,meth:differentialscanningcalorimetry,Differential scanning calorimetry,DSC,
helium pycnometer,meth:gaspycnometry,Gas pycnometry,GPYC,
High resolution cathodoluminescence,meth:cathodoluminescenceimaging,Cathodoluminescence imaging,HR-CL,
High resolution inductively coupled plasma mass spectrometry,meth:highresolutioninductivelycoupledplasmamassspectrometry,High resolution inductively coupled plasma mass spectrometry,HRICPMS,
HIGH-ABUNDANCE SENSITIVITY THERMAL IONIZATION MASS SPECTROMETRY,meth:thermalionizationmassspectrometry,Thermal ionization mass spectrometry,TIMS,
HIGH-PERFORMANCE ION CHROMATOGRAPHY,meth:ionchromatographyanalysis,Ion chromatography analysis,IC,
HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY,meth:liquidchromatographyanalysis,Liquid chromatography analysis,LIC,HPLC
HIGH-RESOLUTION INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY,meth:highresolutioninductivelycoupledplasmamassspectrometry,High resolution inductively coupled plasma mass spectrometry,HRICPMS,HR-ICP-MS
HIGH-RESOLUTION INDUCTIVELY-COUPLED PLASMA MASS SPECTROMETRY,meth:highresolutioninductivelycoupledplasmamassspectrometry,High resolution inductively coupled plasma mass spectrometry,HRICPMS,
HIGH-RESOLUTION MULTI-COLLECTOR INDUCTIVELY-COUPLED PLASMA MASS SPECTROMETRY,meth:highresolutioninductivelycoupledplasmamassspectrometry,High resolution inductively coupled plasma mass spectrometry,HRICPMS,
HIGH-RESOLUTION SECONDARY IONIZATION MASS SPECTROMETRY,meth:secondaryionizationmassspectrometry,Secondary ionization mass spectrometry,SIMS,
Hybridization assay,meth:hybridizationassay,Hybridization assay,,
